Iteracja;Srednia;Najlepsza
0;12086017.00;13555009.00
20;12759528.80;13692887.00
40;12792747.69;13692887.00
60;12912555.74;13692887.00
80;12978678.61;13692887.00
100;12851909.81;13692887.00
120;12840123.62;13692887.00
140;12924333.69;13692887.00
160;12975307.07;13692887.00
180;12891932.20;13692887.00
200;12916595.96;13692887.00
220;12991949.55;13692887.00
240;12833388.21;13692887.00
260;12894203.36;13692887.00
280;12672590.21;13692887.00
300;12834009.91;13692887.00
320;12863695.65;13692887.00
340;12806906.74;13692887.00
360;12841170.47;13692887.00
380;12977070.02;13692887.00
400;12782574.27;13692887.00
420;12688778.02;13692887.00
440;12916154.03;13692887.00
460;12869268.46;13692887.00
480;12966525.60;13692887.00
500;12838129.38;13692887.00
520;12753006.09;13692887.00
540;12823470.04;13692887.00
560;12794427.88;13692887.00
580;12669597.60;13692887.00
600;12922137.47;13692887.00
620;12999317.85;13692887.00
640;12684564.37;13692887.00
660;12886853.08;13692887.00
680;12863314.63;13692887.00
700;12866990.52;13692887.00
720;12982504.50;13692887.00
740;12801297.27;13692887.00
760;12906794.08;13692887.00
780;12941255.28;13692887.00
800;12942446.91;13692887.00
820;12956105.28;13692887.00
840;12991224.93;13692887.00
860;13074385.14;13692887.00
880;12645181.78;13692887.00
900;12819721.33;13692887.00
920;13057064.78;13692887.00
940;12978833.86;13692887.00
960;12669578.55;13692887.00
980;12813101.38;13692887.00
1000;12931538.67;13692887.00
