Iteracja;Srednia;Najlepsza
0;12086017.00;13555009.00
20;11420194.80;13614543.00
40;11675342.12;13574577.00
60;11459932.54;13653419.00
80;11541657.07;13557613.00
100;11683335.22;13529165.00
120;11454904.09;13535371.00
140;11716565.08;13540097.00
160;11681292.11;13474933.00
180;11608389.27;13653419.00
200;11455564.88;13509359.00
220;11350119.81;13683217.00
240;11548304.78;13519655.00
260;11544431.99;13505183.00
280;11504970.44;13586093.00
300;11337345.80;13604045.00
320;11722267.17;13656377.00
340;11554646.17;13653024.00
360;11760528.34;13495417.00
380;11699568.36;13584090.00
400;11260497.95;13467564.00
420;11568919.35;13527718.00
440;11505144.34;13544264.00
460;11604802.82;13683937.00
480;11510956.46;13575857.00
500;11392394.70;13653419.00
520;11493534.33;13588269.00
540;11732707.27;13597823.00
560;11655459.53;13586517.00
580;11613687.52;13683217.00
600;11618122.80;13564907.00
620;11497349.18;13539494.00
640;11624103.57;13499489.00
660;11501040.70;13674267.00
680;11508059.31;13683217.00
700;11486963.45;13653024.00
720;11615649.58;13646380.00
740;11270392.70;13683217.00
760;11438769.09;13574577.00
780;11599595.09;13674267.00
800;11518870.02;13604045.00
820;11267195.75;13599445.00
840;11357870.68;13511658.00
860;11277830.48;13683937.00
880;11760769.50;13579160.00
900;11758506.68;13522474.00
920;11319925.13;13521194.00
940;11417676.78;13674267.00
960;11722796.57;13583527.00
980;11670300.55;13503149.00
1000;11806255.48;13683217.00
