Iteracja;Srednia;Najlepsza
0;12210781.11;13498750.00
20;12819577.54;13692887.00
40;12729132.05;13692887.00
60;12819095.75;13692887.00
80;12921610.67;13692887.00
100;12754798.45;13692887.00
120;12677135.33;13692887.00
140;12808548.16;13692887.00
160;12911345.27;13692887.00
180;12794263.17;13692887.00
200;12991543.95;13692887.00
220;12825740.53;13692887.00
240;12986918.37;13692887.00
260;12729104.70;13692887.00
280;12836560.69;13692887.00
300;12960798.06;13692887.00
320;12907008.20;13692887.00
340;12918488.71;13692887.00
360;12872835.58;13692887.00
380;12878367.61;13692887.00
400;12871150.36;13692887.00
420;12972079.58;13692887.00
440;12845017.53;13692887.00
460;12979554.45;13692887.00
480;12910642.81;13692887.00
500;12716001.03;13692887.00
520;12873645.75;13692887.00
540;12787159.56;13692887.00
560;12881336.84;13692887.00
580;12819851.91;13692887.00
600;12904457.34;13692887.00
620;12894896.88;13692887.00
640;12851386.93;13692887.00
660;12918260.13;13692887.00
680;12830347.66;13692887.00
700;12909827.24;13692887.00
720;12917314.55;13692887.00
740;12947678.20;13692887.00
760;12802896.41;13692887.00
780;12801098.40;13692887.00
800;12897396.80;13692887.00
820;12762294.88;13692887.00
840;12923908.82;13692887.00
860;12811101.77;13692887.00
880;12803664.30;13692887.00
900;12965202.62;13692887.00
920;12919823.36;13692887.00
940;12789336.45;13692887.00
960;12912804.64;13692887.00
980;12838575.34;13692887.00
1000;12815188.86;13692887.00
