Iteracja;Srednia;Najlepsza
0;12109971.45;13487207.00
20;11442096.40;13616938.00
40;11679654.11;13629963.00
60;11527589.06;13548864.00
80;11556167.25;13683937.00
100;11529258.71;13629963.00
120;11238096.74;13568036.00
140;11459591.37;13607342.00
160;11531610.05;13575857.00
180;11568486.57;13536361.00
200;11547873.96;13599445.00
220;11476611.05;13692887.00
240;11203554.43;13587274.00
260;11273847.70;13486511.00
280;11452835.03;13510783.00
300;11442675.88;13486335.00
320;11399145.26;13611815.00
340;11657553.48;13531519.00
360;11442748.96;13575075.00
380;11396426.90;13605593.00
400;11448105.73;13692887.00
420;11547152.73;13565669.00
440;11700044.34;13644380.00
460;11430336.09;13692887.00
480;11479656.53;13597991.00
500;11618032.06;13575857.00
520;11362463.09;13563140.00
540;11194612.21;13653419.00
560;11580308.76;13692887.00
580;11390985.64;13606574.00
600;11464149.67;13584745.00
620;11306844.77;13692887.00
640;11502352.95;13611815.00
660;11619055.55;13595823.00
680;11317868.88;13578033.00
700;11692026.25;13555009.00
720;11298961.18;13542262.00
740;11400161.97;13692887.00
760;11606974.91;13692887.00
780;11406511.21;13611815.00
800;11538849.67;13492423.00
820;11649132.13;13674267.00
840;11399303.50;13606574.00
860;11488358.36;13602341.00
880;11462244.89;13683937.00
900;11487790.49;13578033.00
920;11372090.76;13603263.00
940;11540601.02;13683217.00
960;11360855.67;13683217.00
980;11547591.08;13614543.00
1000;11633930.79;13608750.00
