Iteracja;Srednia;Najlepsza
0;12087922.51;13422463.00
20;11402852.25;13535843.00
40;11553475.49;13692887.00
60;11539271.42;13606574.00
80;11588062.88;13620293.00
100;11557965.59;13674267.00
120;11305262.23;13583206.00
140;11610152.11;13547785.00
160;11597913.72;13543185.00
180;11476896.48;13683217.00
200;11665698.06;13653419.00
220;11470522.74;13614543.00
240;11666024.29;13683217.00
260;11461074.55;13564907.00
280;11424543.53;13692887.00
300;11464830.42;13523277.00
320;11356285.76;13605593.00
340;11421706.45;13674267.00
360;11378961.77;13602341.00
380;11501886.56;13624111.00
400;11593349.01;13653419.00
420;11556889.00;13603263.00
440;11594002.28;13592051.00
460;11753093.53;13596690.00
480;11422532.87;13485977.00
500;11668350.91;13692887.00
520;11548800.95;13674267.00
540;11649703.54;13534589.00
560;11512272.72;13692887.00
580;11222917.23;13656377.00
600;11568119.26;13452427.00
620;11725042.76;13614543.00
640;11675456.62;13683217.00
660;11401007.45;13629963.00
680;11354242.16;13620293.00
700;11697588.61;13574060.00
720;11578066.06;13654201.00
740;11301280.04;13492859.00
760;11527470.26;13653024.00
780;11578820.98;13585527.00
800;11488525.10;13692887.00
820;11883892.40;13692887.00
840;11537808.92;13674267.00
860;11613273.39;13654201.00
880;11527577.52;13674267.00
900;11564275.64;13612011.00
920;11670338.22;13692887.00
940;11485528.98;13674267.00
960;11367544.57;13519721.00
980;11533857.58;13692887.00
1000;11509753.55;13654201.00
