Iteracja;Srednia;Najlepsza
0;12086017.00;13555009.00
20;11590295.60;13654201.00
40;11356352.26;13596904.00
60;11783207.24;13586093.00
80;11733070.87;13517545.00
100;11761209.93;13574420.00
120;11469625.65;13604045.00
140;11444620.89;13585527.00
160;11406389.97;13578232.00
180;11754457.66;13692887.00
200;11563501.56;13692887.00
220;11271008.96;13575857.00
240;11255505.55;13583206.00
260;11434457.96;13606574.00
280;11375666.27;13654201.00
300;11520587.84;13570269.00
320;11606037.37;13607769.00
340;11516555.25;13683937.00
360;11552901.59;13594904.00
380;11567105.57;13683217.00
400;11767995.43;13509558.00
420;11785154.85;13692887.00
440;11636557.83;13692887.00
460;11606311.39;13674267.00
480;11549141.85;13692887.00
500;11605251.11;13584608.00
520;11736870.45;13535843.00
540;11445825.77;13683937.00
560;11422127.75;13683217.00
580;11450620.11;13564321.00
600;11666826.41;13575075.00
620;11515217.63;13573857.00
640;11454373.64;13595823.00
660;11634067.73;13504853.00
680;11487608.82;13509558.00
700;11513820.13;13692887.00
720;11545401.10;13653419.00
740;11582351.16;13556827.00
760;11476712.28;13624111.00
780;11540693.66;13683217.00
800;11368448.68;13653024.00
820;11470230.49;13558067.00
840;11566197.74;13646380.00
860;11375664.94;13624111.00
880;11392581.90;13481810.00
900;11660482.64;13611815.00
920;11559357.74;13584745.00
940;11439252.73;13624111.00
960;11501845.69;13584745.00
980;11220871.92;13683937.00
1000;11516378.65;13620293.00
