Iteracja;Srednia;Najlepsza
0;11961986.95;13586921.00
20;11418076.21;13683217.00
40;11537106.91;13653419.00
60;11658260.99;13654201.00
80;11663028.31;13692887.00
100;11447841.55;13520040.00
120;11608654.88;13579871.00
140;11517217.78;13692887.00
160;11522950.53;13674267.00
180;11537127.52;13554153.00
200;11819844.08;13629963.00
220;11751403.99;13683217.00
240;11709796.51;13653419.00
260;11495893.69;13552739.00
280;11398976.68;13585527.00
300;11484235.17;13580332.00
320;11665881.44;13504489.00
340;11506350.14;13624111.00
360;11454330.19;13605593.00
380;11305108.65;13551619.00
400;11479816.10;13530771.00
420;11803691.81;13683217.00
440;11536169.31;13597345.00
460;11566550.50;13528230.00
480;11675999.78;13603263.00
500;11492846.78;13654201.00
520;11653244.86;13503208.00
540;11643323.62;13524919.00
560;11813626.64;13575075.00
580;11505673.69;13614187.00
600;11431593.14;13545751.00
620;11569365.91;13624111.00
640;11550597.75;13581493.00
660;11547819.61;13683937.00
680;11464728.38;13683217.00
700;11786325.76;13596904.00
720;11594430.69;13604045.00
740;11648502.45;13692887.00
760;11763369.37;13653419.00
780;11025778.81;13692887.00
800;11388094.76;13509359.00
820;11416754.46;13554933.00
840;11412754.43;13653419.00
860;11604888.87;13530771.00
880;11447626.91;13692887.00
900;11457926.86;13584745.00
920;11644596.00;13683217.00
940;11561803.47;13692887.00
960;11256119.63;13692887.00
980;11378860.44;13555009.00
1000;11445764.16;13653024.00
