Iteracja;Srednia;Najlepsza
0;12174131.62;13531666.00
20;12758197.86;13692887.00
40;12884267.86;13692887.00
60;12861019.43;13692887.00
80;12846304.57;13692887.00
100;12830791.53;13692887.00
120;13001916.74;13692887.00
140;12884438.17;13692887.00
160;12803341.17;13692887.00
180;12916351.65;13692887.00
200;12964945.30;13692887.00
220;13081467.11;13692887.00
240;12956143.27;13692887.00
260;12971523.29;13692887.00
280;12940788.91;13692887.00
300;12958315.13;13692887.00
320;12798450.97;13692887.00
340;12864065.51;13692887.00
360;12823602.50;13692887.00
380;13075685.46;13692887.00
400;12793186.17;13692887.00
420;12982617.04;13692887.00
440;12804374.96;13692887.00
460;12721694.45;13692887.00
480;12990800.61;13692887.00
500;12808996.67;13692887.00
520;12945156.13;13692887.00
540;13008179.21;13692887.00
560;12925802.48;13692887.00
580;12716310.61;13692887.00
600;12913926.15;13692887.00
620;12943160.71;13692887.00
640;12795890.13;13692887.00
660;12907260.04;13692887.00
680;12610587.46;13692887.00
700;12943770.11;13692887.00
720;12901552.34;13692887.00
740;12876012.74;13692887.00
760;12785017.89;13692887.00
780;12934001.70;13692887.00
800;12990018.67;13692887.00
820;12790339.46;13692887.00
840;12988535.92;13692887.00
860;13055288.54;13692887.00
880;12912908.37;13692887.00
900;12838585.05;13692887.00
920;12820749.79;13692887.00
940;13026230.88;13692887.00
960;12831157.55;13692887.00
980;12938368.20;13692887.00
1000;12852526.66;13692887.00
