Iteracja;Srednia;Najlepsza
0;12137905.22;13528235.00
20;11706373.32;13614543.00
40;11446418.16;13605593.00
60;11473863.77;13515618.00
80;11722182.97;13653419.00
100;11369834.29;13692887.00
120;11419330.45;13692887.00
140;11404957.17;13683217.00
160;11359354.61;13605593.00
180;11477113.10;13654201.00
200;11519263.87;13596690.00
220;11609664.04;13606574.00
240;11481957.66;13497459.00
260;11482079.56;13567473.00
280;11651355.40;13586093.00
300;11240187.61;13692887.00
320;11616257.01;13618671.00
340;11483689.84;13576056.00
360;11502983.71;13692887.00
380;11496906.63;13653419.00
400;11792659.90;13692887.00
420;11721032.76;13555009.00
440;11545050.48;13692887.00
460;11651692.89;13554190.00
480;11559989.62;13692887.00
500;11912657.14;13576056.00
520;11539274.22;13692887.00
540;11660507.63;13653419.00
560;11626235.25;13629963.00
580;11740532.91;13674267.00
600;11552508.95;13525514.00
620;11524051.35;13667228.00
640;11430806.07;13674267.00
660;11557124.69;13604375.00
680;11371358.86;13614543.00
700;11425291.98;13499888.00
720;11506334.79;13692887.00
740;11704108.59;13692887.00
760;11253091.01;13519479.00
780;11620569.92;13544385.00
800;11448513.59;13614543.00
820;11498646.00;13614543.00
840;11596034.12;13614543.00
860;11652482.16;13509605.00
880;11685068.34;13683217.00
900;11448042.37;13585527.00
920;11684656.17;13683937.00
940;11456797.93;13614543.00
960;11553422.55;13683217.00
980;11760123.46;13683217.00
1000;11664369.41;13653024.00
