Iteracja;Srednia;Najlepsza
0;12137905.22;13528235.00
20;12863138.19;13692887.00
40;12732015.67;13692887.00
60;12948279.51;13692887.00
80;12916978.10;13692887.00
100;12894838.28;13692887.00
120;12699033.50;13692887.00
140;12950634.90;13692887.00
160;12770389.75;13692887.00
180;12936163.19;13692887.00
200;12938523.25;13692887.00
220;12933658.32;13692887.00
240;12724789.89;13692887.00
260;12997592.78;13692887.00
280;13048527.26;13692887.00
300;12722867.43;13692887.00
320;12851771.86;13692887.00
340;12780861.11;13692887.00
360;12837208.20;13692887.00
380;12685814.51;13692887.00
400;12804208.16;13692887.00
420;12868947.69;13692887.00
440;12842373.47;13692887.00
460;12962932.50;13692887.00
480;12913346.51;13692887.00
500;12932958.72;13692887.00
520;12718978.90;13692887.00
540;12830568.42;13692887.00
560;12728331.10;13692887.00
580;12807735.44;13692887.00
600;12938336.35;13692887.00
620;12956234.47;13692887.00
640;12762203.61;13692887.00
660;12936416.89;13692887.00
680;12858926.27;13692887.00
700;12851569.96;13692887.00
720;12888470.58;13692887.00
740;12661616.38;13692887.00
760;12865213.93;13692887.00
780;13026715.10;13692887.00
800;12967315.97;13692887.00
820;12817582.32;13692887.00
840;12951043.92;13692887.00
860;13008329.26;13692887.00
880;12889494.00;13692887.00
900;12912501.77;13692887.00
920;12884343.43;13692887.00
940;12823041.12;13692887.00
960;12852761.17;13692887.00
980;12854733.41;13692887.00
1000;12945266.46;13692887.00
