Iteracja;Srednia;Najlepsza
0;12109971.45;13487207.00
20;12853669.72;13692887.00
40;12754940.79;13692887.00
60;12912900.63;13692887.00
80;13013296.54;13692887.00
100;12938662.54;13692887.00
120;13001993.81;13692887.00
140;12929364.66;13692887.00
160;12933539.54;13692887.00
180;12903276.21;13692887.00
200;12868880.34;13692887.00
220;12874718.85;13692887.00
240;12860565.24;13692887.00
260;12883012.99;13692887.00
280;12867149.71;13692887.00
300;12850132.32;13692887.00
320;12893818.94;13692887.00
340;12919821.38;13692887.00
360;12841577.88;13692887.00
380;12962721.63;13692887.00
400;12907890.10;13692887.00
420;13004663.40;13692887.00
440;12950011.61;13692887.00
460;13059881.08;13692887.00
480;12858950.65;13692887.00
500;12856706.62;13692887.00
520;12776309.20;13692887.00
540;12795627.56;13692887.00
560;12806400.41;13692887.00
580;12803288.49;13692887.00
600;12901392.30;13692887.00
620;12904066.75;13692887.00
640;12911370.61;13692887.00
660;12816010.97;13692887.00
680;12735589.18;13692887.00
700;12945600.41;13692887.00
720;12848313.99;13692887.00
740;12796494.77;13692887.00
760;12752580.21;13692887.00
780;13006428.79;13692887.00
800;12965843.67;13692887.00
820;12844393.30;13692887.00
840;12948148.79;13692887.00
860;13086479.05;13692887.00
880;12955679.10;13692887.00
900;12893399.71;13692887.00
920;12875266.13;13692887.00
940;12732639.23;13692887.00
960;13108440.46;13692887.00
980;12946075.99;13692887.00
1000;12908083.69;13692887.00
