Iteracja;Srednia;Najlepsza
0;12109971.45;13487207.00
20;12956905.53;13692887.00
40;12856021.92;13692887.00
60;12863065.86;13692887.00
80;12915179.09;13692887.00
100;13026258.75;13692887.00
120;12996348.39;13692887.00
140;12828120.98;13692887.00
160;13071771.24;13692887.00
180;12801860.89;13692887.00
200;12886511.01;13692887.00
220;12833432.79;13692887.00
240;12974481.24;13692887.00
260;13017580.53;13692887.00
280;12894815.70;13692887.00
300;13047380.39;13692887.00
320;12986146.58;13692887.00
340;12784206.53;13692887.00
360;12863442.27;13692887.00
380;12880354.15;13692887.00
400;13039772.96;13692887.00
420;12755950.30;13692887.00
440;13010101.91;13692887.00
460;12978873.72;13692887.00
480;12890840.47;13692887.00
500;12850875.96;13692887.00
520;12641410.09;13692887.00
540;12887137.01;13692887.00
560;12901456.16;13692887.00
580;13022968.14;13692887.00
600;12950212.76;13692887.00
620;12846799.63;13692887.00
640;12701991.11;13692887.00
660;12776252.25;13692887.00
680;12888701.56;13692887.00
700;12876936.71;13692887.00
720;13016562.34;13692887.00
740;12860211.44;13692887.00
760;12825529.15;13692887.00
780;12793357.45;13692887.00
800;12975980.06;13692887.00
820;12921475.95;13692887.00
840;12728789.94;13692887.00
860;12745733.65;13692887.00
880;12854773.34;13692887.00
900;12947854.23;13692887.00
920;12677023.90;13692887.00
940;12918082.11;13692887.00
960;12946940.43;13692887.00
980;13025635.47;13692887.00
1000;12798686.45;13692887.00
