Iteracja;Srednia;Najlepsza
0;11961986.95;13586921.00
20;12604695.44;13692887.00
40;12852657.35;13692887.00
60;12690982.47;13692887.00
80;12935240.24;13692887.00
100;12787792.93;13692887.00
120;12767075.91;13692887.00
140;12889288.18;13692887.00
160;12606091.49;13692887.00
180;12910848.59;13692887.00
200;12831742.31;13692887.00
220;12759558.47;13692887.00
240;12603452.68;13692887.00
260;12950004.31;13692887.00
280;12780588.88;13692887.00
300;13035168.92;13692887.00
320;12868020.21;13692887.00
340;12918285.66;13692887.00
360;12649151.38;13692887.00
380;12920786.45;13692887.00
400;12945525.29;13692887.00
420;12810022.28;13692887.00
440;12802686.44;13692887.00
460;12814839.53;13692887.00
480;12866190.93;13692887.00
500;13039094.51;13692887.00
520;12998331.42;13692887.00
540;12784822.80;13692887.00
560;12906462.91;13692887.00
580;12825615.68;13692887.00
600;12877941.32;13692887.00
620;13094888.48;13692887.00
640;12706238.42;13692887.00
660;12996093.45;13692887.00
680;12976651.20;13692887.00
700;12875912.57;13692887.00
720;12961481.85;13692887.00
740;12934497.92;13692887.00
760;12895001.42;13692887.00
780;12938070.60;13692887.00
800;12836677.91;13692887.00
820;13021480.66;13692887.00
840;12584350.35;13692887.00
860;12953912.46;13692887.00
880;12831342.83;13692887.00
900;12708782.81;13692887.00
920;12885182.18;13692887.00
940;12904703.60;13692887.00
960;12884935.22;13692887.00
980;12828807.97;13692887.00
1000;13065965.22;13692887.00
