Iteracja;Srednia;Najlepsza
0;11961986.95;13586921.00
20;11431548.61;13674267.00
40;11520256.48;13614543.00
60;11485056.24;13578033.00
80;11420766.79;13683217.00
100;11353060.60;13608750.00
120;11516939.83;13614543.00
140;11648831.39;13523277.00
160;11537583.77;13667228.00
180;11688395.79;13585527.00
200;11614846.78;13489078.00
220;11512214.81;13599080.00
240;11316465.87;13583527.00
260;11583688.63;13597823.00
280;11286379.21;13424864.00
300;11448140.02;13692887.00
320;11464279.63;13587177.00
340;11594500.75;13612011.00
360;11530562.60;13614543.00
380;11273131.21;13692887.00
400;11536170.54;13656377.00
420;11748518.42;13553271.00
440;11499287.29;13692887.00
460;11417866.98;13432391.00
480;11583801.64;13575832.00
500;11456685.67;13683217.00
520;11406617.94;13654201.00
540;11471697.71;13606574.00
560;11403244.33;13534953.00
580;11595040.91;13577604.00
600;11344468.43;13565738.00
620;11476083.63;13683217.00
640;11611262.46;13596904.00
660;11519355.24;13576269.00
680;11248415.50;13571164.00
700;11402741.19;13683217.00
720;11444667.03;13450467.00
740;11407324.69;13683217.00
760;11453509.21;13616719.00
780;11283998.37;13683937.00
800;11807095.44;13692887.00
820;11692307.12;13674267.00
840;11583509.66;13683937.00
860;11603847.13;13653024.00
880;11492675.67;13586093.00
900;11585454.57;13566133.00
920;11528522.11;13524421.00
940;11502954.54;13532947.00
960;11656506.39;13616938.00
980;11490252.26;13692887.00
1000;11617427.55;13683937.00
