Iteracja;Srednia;Najlepsza
0;12087922.51;13422463.00
20;12748996.32;13692887.00
40;12967877.73;13692887.00
60;12921730.73;13692887.00
80;12884650.58;13692887.00
100;12828396.24;13692887.00
120;12922388.57;13692887.00
140;12948718.60;13692887.00
160;12729408.25;13692887.00
180;12968990.05;13692887.00
200;12816712.52;13692887.00
220;12877427.09;13692887.00
240;12797149.52;13692887.00
260;12860124.30;13692887.00
280;12870862.19;13692887.00
300;12942342.60;13692887.00
320;12821823.17;13692887.00
340;12913528.39;13692887.00
360;12896241.00;13692887.00
380;13050086.17;13692887.00
400;12829338.83;13692887.00
420;12844704.95;13692887.00
440;13056965.15;13692887.00
460;12900152.47;13692887.00
480;12874320.11;13692887.00
500;12707553.26;13692887.00
520;12913883.68;13692887.00
540;12948685.18;13692887.00
560;12957215.62;13692887.00
580;12876721.82;13692887.00
600;12892902.69;13692887.00
620;12918487.18;13692887.00
640;12946727.15;13692887.00
660;12902102.83;13692887.00
680;12822987.75;13692887.00
700;12961006.41;13692887.00
720;12788735.40;13692887.00
740;12646824.28;13692887.00
760;12805874.63;13692887.00
780;12916651.30;13692887.00
800;12696164.43;13692887.00
820;12940941.81;13692887.00
840;12942893.40;13692887.00
860;12867612.63;13692887.00
880;12860574.55;13692887.00
900;12900255.88;13692887.00
920;12776207.31;13692887.00
940;12924146.73;13692887.00
960;12756541.33;13692887.00
980;12750028.40;13692887.00
1000;12956908.78;13692887.00
