Iteracja;Srednia;Najlepsza
0;12210781.11;13498750.00
20;11092820.64;13605593.00
40;11529155.44;13604375.00
60;11416605.55;13612011.00
80;11450811.65;13584745.00
100;11580052.56;13498631.00
120;11461604.45;13683217.00
140;11454580.89;13692887.00
160;11764404.33;13653419.00
180;11710438.57;13557185.00
200;11401903.86;13602341.00
220;11579846.27;13575006.00
240;11250601.56;13484335.00
260;11824448.19;13606221.00
280;11432504.23;13544059.00
300;11400797.28;13525701.00
320;11528280.16;13616719.00
340;11710188.48;13674267.00
360;11362594.89;13674267.00
380;11548214.70;13575075.00
400;11403480.10;13579871.00
420;11482206.59;13513416.00
440;11461501.80;13653419.00
460;11526781.06;13605593.00
480;11430026.54;13614543.00
500;11478321.60;13530801.00
520;11568492.84;13683217.00
540;11585653.91;13614543.00
560;11740729.99;13563760.00
580;11572838.41;13507183.00
600;11484287.75;13604045.00
620;11772193.66;13683937.00
640;11360535.12;13654201.00
660;11512922.74;13654201.00
680;11225316.75;13541605.00
700;11615537.19;13605593.00
720;11323363.29;13692887.00
740;11519112.78;13654201.00
760;11354257.05;13565669.00
780;11440418.56;13585527.00
800;11552947.80;13654201.00
820;11291909.97;13511524.00
840;11366757.45;13535843.00
860;11463164.41;13452427.00
880;11451439.76;13602341.00
900;11481112.54;13592739.00
920;11622641.54;13575706.00
940;11682848.24;13692887.00
960;11699282.89;13674267.00
980;11570630.96;13683937.00
1000;11442105.05;13451939.00
