N;T;Pc;Pm;Selection;Crossover;bestFitness;Time(ms);worstFitness
50;200;0.500;0.100;Tournament;OnePoint;13486335;13;8313169
50;200;0.500;0.100;Tournament;OnePoint;13494436;10;7552823
50;200;0.500;0.100;Tournament;OnePoint;13620293;12;7190833
50;200;0.500;0.100;Roulette;OnePoint;13504430;12;6243866
50;200;0.500;0.100;Roulette;OnePoint;13483986;11;8128418
50;200;0.500;0.100;Roulette;OnePoint;13413585;12;7350729
50;200;0.500;0.100;Roulette;OnePoint;13545751;12;6172744
50;200;0.500;0.100;Roulette;OnePoint;13498608;12;7220978
50;200;0.500;0.100;Tournament;TwoPoint;13484170;11;6334643
50;200;0.500;0.100;Tournament;TwoPoint;13620293;11;8506522
50;200;0.500;0.100;Tournament;TwoPoint;13463584;11;7783033
50;200;0.500;0.100;Tournament;TwoPoint;13511038;11;8587829
50;200;0.500;0.100;Tournament;TwoPoint;13605593;11;7100420
50;200;0.500;0.100;Roulette;TwoPoint;13583527;12;5133508
50;200;0.500;0.100;Roulette;TwoPoint;13459698;12;6249855
50;200;0.500;0.100;Roulette;TwoPoint;13564956;11;4009548
50;200;0.500;0.100;Roulette;TwoPoint;13423624;12;7974476
50;200;0.500;0.100;Roulette;TwoPoint;13303803;12;5578600
50;200;0.600;0.001;Tournament;OnePoint;13604045;7;13024893
50;200;0.600;0.001;Tournament;OnePoint;13581493;7;13581493
50;200;0.600;0.001;Tournament;OnePoint;13539401;6;11685839
50;200;0.600;0.001;Tournament;OnePoint;13565669;6;11876978
50;200;0.600;0.001;Tournament;OnePoint;13499390;6;13499390
50;200;0.600;0.001;Roulette;OnePoint;13654201;9;12707581
50;200;0.600;0.001;Roulette;OnePoint;13261177;9;11505988
50;200;0.600;0.001;Roulette;OnePoint;13114517;8;11428002
50;200;0.600;0.001;Roulette;OnePoint;13307519;8;12836509
50;200;0.600;0.001;Roulette;OnePoint;13401641;8;9310534
50;200;0.600;0.001;Tournament;TwoPoint;13624111;7;13624111
50;200;0.600;0.001;Tournament;TwoPoint;13607769;7;12774637
50;200;0.600;0.001;Tournament;TwoPoint;13603263;7;12074617
50;200;0.600;0.001;Tournament;TwoPoint;13606574;6;13606574
50;200;0.600;0.001;Tournament;TwoPoint;13692887;6;11624683
50;200;0.600;0.001;Roulette;TwoPoint;13104847;10;9340784
50;200;0.600;0.001;Roulette;TwoPoint;13130765;9;13130765
50;200;0.600;0.001;Roulette;TwoPoint;13114517;8;12080603
50;200;0.600;0.001;Roulette;TwoPoint;13585527;8;12752395
50;200;0.600;0.001;Roulette;TwoPoint;13614543;9;9259420
50;200;0.600;0.010;Tournament;OnePoint;13629963;8;11776401
50;200;0.600;0.010;Tournament;OnePoint;13692887;8;10983148
50;200;0.600;0.010;Tournament;OnePoint;13692887;7;11582366
50;200;0.600;0.010;Tournament;OnePoint;13692887;7;11592036
50;200;0.600;0.010;Tournament;OnePoint;13644380;6;11733879
50;200;0.600;0.010;Roulette;OnePoint;13606221;19;7457268
50;200;0.600;0.010;Roulette;OnePoint;13604574;14;9576178
50;200;0.600;0.010;Roulette;OnePoint;13618671;11;8902777
50;200;0.600;0.010;Roulette;OnePoint;13456196;11;6402201
50;200;0.600;0.010;Roulette;OnePoint;13450902;12;9069070
50;200;0.600;0.010;Tournament;TwoPoint;13692887;7;11624683
50;200;0.600;0.010;Tournament;TwoPoint;13674267;7;11820705
50;200;0.600;0.010;Tournament;TwoPoint;13656377;7;10577044
50;200;0.600;0.010;Tournament;TwoPoint;13588269;7;9831374
50;200;0.600;0.010;Tournament;TwoPoint;13692887;6;12006372
50;200;0.600;0.010;Roulette;TwoPoint;13507183;15;6271064
50;200;0.600;0.010;Roulette;TwoPoint;13654201;11;7902104
50;200;0.600;0.010;Roulette;TwoPoint;13692887;10;6149144
50;200;0.600;0.010;Roulette;TwoPoint;13429957;11;7266643
50;200;0.600;0.010;Roulette;TwoPoint;13420287;10;10797681
50;200;0.600;0.020;Tournament;OnePoint;13692887;8;11691228
50;200;0.600;0.020;Tournament;OnePoint;13614187;8;11513336
50;200;0.600;0.020;Tournament;OnePoint;13692887;7;11592036
50;200;0.600;0.020;Tournament;OnePoint;13692887;7;10322414
50;200;0.600;0.020;Tournament;OnePoint;13692887;7;10650762
50;200;0.600;0.020;Roulette;OnePoint;13606221;11;5627948
50;200;0.600;0.020;Roulette;OnePoint;13597934;11;7644108
50;200;0.600;0.020;Roulette;OnePoint;13420287;10;6887577
50;200;0.600;0.020;Roulette;OnePoint;13337880;10;7308349
50;200;0.600;0.020;Roulette;OnePoint;13683217;10;5080150
50;200;0.600;0.020;Tournament;TwoPoint;13692887;8;11624683
50;200;0.600;0.020;Tournament;TwoPoint;13692887;5;8905342
50;200;0.600;0.020;Tournament;TwoPoint;13692887;6;9130156
50;200;0.600;0.020;Tournament;TwoPoint;13692887;8;11782386
50;200;0.600;0.020;Tournament;TwoPoint;13692887;8;9997498
50;200;0.600;0.020;Roulette;TwoPoint;13349613;9;7167838
50;200;0.600;0.020;Roulette;TwoPoint;13429043;10;4794529
50;200;0.600;0.020;Roulette;TwoPoint;13692887;10;6282799
50;200;0.600;0.020;Roulette;TwoPoint;13469811;10;6599578
50;200;0.600;0.020;Roulette;TwoPoint;13284623;10;7091800
50;200;0.600;0.050;Tournament;OnePoint;13683217;8;10313562
50;200;0.600;0.050;Tournament;OnePoint;13683217;9;8994303
50;200;0.600;0.050;Tournament;OnePoint;13692887;9;9205574
50;200;0.600;0.050;Tournament;OnePoint;13508641;9;8979802
50;200;0.600;0.050;Tournament;OnePoint;13692887;9;8839323
50;200;0.600;0.050;Roulette;OnePoint;13422002;12;4775946
50;200;0.600;0.050;Roulette;OnePoint;13391610;12;4299003
50;200;0.600;0.050;Roulette;OnePoint;13382346;11;7179786
50;200;0.600;0.050;Roulette;OnePoint;13389116;11;7476972
50;200;0.600;0.050;Roulette;OnePoint;13434475;11;7271548
50;200;0.600;0.050;Tournament;TwoPoint;13683217;10;9722838
50;200;0.600;0.050;Tournament;TwoPoint;13692887;9;9692777
50;200;0.600;0.050;Tournament;TwoPoint;13654201;9;10967969
50;200;0.600;0.050;Tournament;TwoPoint;13692887;10;10396387
50;200;0.600;0.050;Tournament;TwoPoint;13692887;10;11107562
50;200;0.600;0.050;Roulette;TwoPoint;13477203;10;5667782
50;200;0.600;0.050;Roulette;TwoPoint;13437828;6;6394111
50;200;0.600;0.050;Roulette;TwoPoint;13585527;10;8598347
50;200;0.600;0.050;Roulette;TwoPoint;13290359;10;3266665
50;200;0.600;0.050;Roulette;TwoPoint;13412844;10;7649283
50;200;0.600;0.100;Tournament;OnePoint;13596904;13;8193897
50;200;0.600;0.100;Tournament;OnePoint;13654201;12;7234185
50;200;0.600;0.100;Tournament;OnePoint;13281601;10;9066452
50;200;0.600;0.100;Tournament;OnePoint;13536953;11;9633555
50;200;0.600;0.100;Tournament;OnePoint;13654201;11;3798608
